state, term freq(b.d.w.), term freq (f.o.reg.),  bg checks (august 2019 only),  bg checks (est. rate of total increase in per capita guns since 1999), gallup (% of respondents who answered the question who had a gun)
ALABAMA,0.0006280805220520135,0.00380041943004354,0.004739005873476233,0.005855377677978702,0.725
ALASKA,0.0006017752369489995,0.0038363171355498722,0.006878920377603829,0.007536105092646386,0.625
ARIZONA,0.0004291254317743542,0.004036957765580961,0.0024392249214152065,0.0030351502881620484,0.45161290322580644
ARKANSAS,0.000555056730062852,0.003885397110439964,0.0040733425103842156,0.003421693390293074,0.9166666666666666
CALIFORNIA,0.0005872914669145621,0.004740512890398758,0.0014285263719421056,0.001443249598991178,0.33070866141732286
COLORADO,0.0004643232298628343,0.004734574573355459,0.00498635628939187,0.005111885663798445,0.42424242424242425
DELAWARE,0.0004347826086956522,0.004420289855072463,0.0023344386670801727,0.003051047276342112,0.4
FLORIDA,0.0004178631343851957,0.003816346064779078,0.00250551159058484,0.0032285058709863148,0.40229885057471265
GEORGIA,0.0003894947696416648,0.004178722457155576,0.002120674768673084,0.0018264318940669501,0.5142857142857142
IDAHO,0.00021704529011720445,0.004015337867168282,0.004078755021635694,0.005061371578537994,0.5833333333333334
ILLINOIS,0.0004943671228415059,0.004507464943554907,0.0017211334297449307,0.0022129416127326927,0.3333333333333333
INDIANA,0.00037345560546490035,0.004740811436040541,0.0033469075549170794,0.00423604757955735,0.5625
IOWA,0.00041783036087348534,0.004794053614232622,0.0011682545809289225,0.0007787465888237028,0.3684210526315789
KANSAS,0.0003938732498961265,0.0038494294948082054,0.0037165842153512037,0.003249907150413584,0.1
KENTUCKY,0.0005121416216529612,0.004435339704503947,0.00418943519629712,0.0035911312220030427,0.75
LOUISIANA,0.0005209840810419681,0.003690303907380608,0.004209792818751571,0.004265837548405027,0.8461538461538461
MAINE,0.0004958736230652074,0.004533701696596182,0.004113798425588576,0.005827949757925089,0.7142857142857143
MARYLAND,0.00043685125214864336,0.005669569511581306,0.001344609444012546,0.0013009289277632955,0.20689655172413793
MASSACHUSETTS,0.0004835056705884349,0.0045720974815292355,0.0008101312584594494,0.0009446495707002232,0.20454545454545456
MICHIGAN,0.00046616631482209093,0.004315368171495928,0.0017040591687081928,0.0021410139346142634,0.40476190476190477
MINNESOTA,0.000514145264847512,0.004827949438202247,0.0031593451468417346,0.004232013720044145,0.43243243243243246
MISSISSIPPI,0.0007371542495267135,0.003987334349712678,0.004425635016263184,0.004288091758846751,0.7272727272727273
MISSOURI,0.00028495215178451285,0.004741287192192311,0.004409950751249639,0.00509366464258318,0.5652173913043478
MONTANA,0.0005744320303300112,0.003963581009277077,0.0067313163680773015,0.0071960687813559035,0.75
NEBRASKA,0.000565071516863853,0.0038142327388310084,0.00137071742389056,0.0008886439675601011,0.4375
NEVADA,0.00048180311879384704,0.004159958635439557,0.002546810746249571,0.0022778067084913882,0.36363636363636365
NEW HAMPSHIRE,0.0002603303829223269,0.005348606049131443,0.004089026524579963,0.005586481244911602,0.125
NEW JERSEY,0.0004889316001551094,0.004619560635948274,0.000593557282882312,0.0008177037419825516,0.11428571428571428
NEW MEXICO,0.00046049938600081867,0.004042161277118297,0.003913204570795131,0.0048592422176534185,0.38461538461538464
NEW YORK,0.00050892322396656,0.00480373872378192,0.0009126604595156491,0.001351526334947108,0.22727272727272727
NORTH CAROLINA,0.00046074308215692054,0.004007393319225309,0.0014867921338799018,0.001259906003803936,0.49019607843137253
NORTH DAKOTA,0.0005227391531625719,0.003310681303362955,0.00543969554104864,0.0066005128191669446,0.5
OHIO,0.000464067311445548,0.0056555492908878,0.00304825528687601,0.0027890085635335483,0.43636363636363634
OKLAHOMA,0.00045914999856515624,0.0037305937383418945,0.00484288263953657,0.004720782639043855,0.6
OREGON,0.00040574123852513057,0.004919612517117209,0.0044294521164194665,0.005355715636133784,0.43478260869565216
PENNSYLVANIA,0.0004503182382907206,0.004659989626597725,0.004174518271009784,0.004273320341081374,0.3709677419354839
RHODE ISLAND,0.0003004446580939791,0.005107559187597644,0.0012546312057984026,0.0016302280336920087,0.0
SOUTH CAROLINA,0.00037918475278151976,0.005009230155166393,0.002728351447120279,0.0026981494796564733,0.46153846153846156
SOUTH DAKOTA,0.0008049369466058492,0.004695465521867454,0.006396557434411106,0.0067913173324410875,0.5
TENNESSEE,0.0005612376767714064,0.003943433149946461,0.004402099839878242,0.0051607998273290445,0.53125
TEXAS,0.0004709644149350223,0.004058399587451943,0.0026654354716776547,0.002922518546685993,0.5045871559633027
UTAH,0.0005451571869889151,0.004866032669049205,0.002572804957872979,0.0020723914661389827,0.6666666666666666
VERMONT,0.0002607391956195815,0.003911087934293723,0.0035198211378700975,0.004758096697217419,0.4
VIRGINIA,0.0003760478416420756,0.005040085655341708,0.0033875365881128675,0.004227510945731595,0.48717948717948717
WASHINGTON,0.000542123629112662,0.0048666500498504486,0.0029858816159012446,0.003154870331073595,0.5384615384615384
WEST VIRGINIA,0.0005096984284298457,0.003936004530652697,0.006291048445021002,0.005788587654918932,0.5454545454545454
WISCONSIN,0.00041579401256621904,0.0044967352470124435,0.003435583412991214,0.004678112280877722,0.4230769230769231
WYOMING,0.0013810648737052516,0.004106850808649827,0.006154099125169707,0.007127318970417739,1.0
